region,year,ppt
MEY,900,361.9073861
MEY,901,363.5338691
MEY,902,449.580176
MEY,903,213.8790662
MEY,904,369.0799847
MEY,905,378.8373517
MEY,906,295.4060467
MEY,907,262.3505549
MEY,908,369.880597
MEY,909,344.3589744
MEY,910,203.956372
MEY,911,395.7527746
MEY,912,464.5044011
MEY,913,431.0497512
MEY,914,417.8270188
MEY,915,491.3321852
MEY,916,522.3230004
MEY,917,564.7455033
MEY,918,463.1316494
MEY,919,420.6563337
MEY,920,282.6360505
MEY,921,503.1871412
MEY,922,321.3769613
MEY,923,265.4649828
MEY,924,221.9276693
MEY,925,370.3230004
MEY,926,436.9766552
MEY,927,327.4477612
MEY,928,408.5530042
MEY,929,390.6773823
MEY,930,306.0505166
MEY,931,376.075775
MEY,932,337.6119403
MEY,933,390.2774589
MEY,934,343.0864906
MEY,935,308.7225411
MEY,936,421.6731726
MEY,937,480.6188289
MEY,938,420.0183697
MEY,939,375.7929583
MEY,940,384.4580941
MEY,941,434.3804057
MEY,942,378.6299273
MEY,943,291.3643322
MEY,944,226.8530425
MEY,945,391.293915
MEY,946,402.6900115
MEY,947,389.152698
MEY,948,351.2001531
MEY,949,410.3172599
MEY,950,396.6061998
MEY,951,312.3386912
MEY,952,350.6039036
MEY,953,375.7363184
MEY,954,220.934558
MEY,955,293.8163031
MEY,956,402.9850746
MEY,957,299.4978951
MEY,958,331.6299273
MEY,959,384.2338308
MEY,960,464.3348641
MEY,961,294.89093
MEY,962,455.2556449
MEY,963,370.1025641
MEY,964,429.8955224
MEY,965,320.5189437
MEY,966,432.2330654
MEY,967,310.9793341
MEY,968,303.5690777
MEY,969,345.079602
MEY,970,400.6923077
MEY,971,448.9812476
MEY,972,324.8059701
MEY,973,461.3497895
MEY,974,371.0792193
MEY,975,242.9027937
MEY,976,349.920398
MEY,977,369.0554918
MEY,978,305.2120168
MEY,979,350.1339457
MEY,980,140.0183697
MEY,981,62.4075775
MEY,982,440.5308075
MEY,983,422.4822044
MEY,984,368.0845771
MEY,985,377.2809032
MEY,986,429.3784922
MEY,987,454.7493303
MEY,988,489.0715653
MEY,989,447.743207
MEY,990,436.9556066
MEY,991,304.598163
MEY,992,490.1324148
MEY,993,296.0049751
MEY,994,471.970532
MEY,995,269.453119
MEY,996,488.0237275
MEY,997,389.3562954
MEY,998,304.691925
MEY,999,350.5101416
MEY,1000,383.3302717
MEY,1001,264.8802143
MEY,1002,359.4071948
MEY,1003,400.1094527
MEY,1004,350.4068121
MEY,1005,195.0960582
MEY,1006,466.065442
MEY,1007,429.9364715
MEY,1008,256.5055492
MEY,1009,428.4041332
MEY,1010,402.1484883
MEY,1011,369.216992
MEY,1012,339.9548412
MEY,1013,359.2123995
MEY,1014,332.5269805
MEY,1015,448.655951
MEY,1016,512.572522
MEY,1017,523.9108305
MEY,1018,461.558362
MEY,1019,457.391504
MEY,1020,519.358209
MEY,1021,374.1431305
MEY,1022,377.4213548
MEY,1023,427.5063146
MEY,1024,465.7776502
MEY,1025,307.0329124
MEY,1026,395.9800995
MEY,1027,412.0964409
MEY,1028,435.5323383
MEY,1029,400.5181783
MEY,1030,329.8905473
MEY,1031,246.1354765
MEY,1032,353.4519709
MEY,1033,343.2449292
MEY,1034,388.1898201
MEY,1035,202.9778033
MEY,1036,260.7018752
MEY,1037,320.9483352
MEY,1038,278.8132415
MEY,1039,310.8760046
MEY,1040,390.0704171
MEY,1041,347.9724455
MEY,1042,426.743207
MEY,1043,194.5396096
MEY,1044,321.6012246
MEY,1045,367.38385
MEY,1046,233.5457329
MEY,1047,394.7190968
MEY,1048,282.4339839
MEY,1049,358.4385763
MEY,1050,425.0199005
MEY,1051,467.6708764
MEY,1052,579.6570991
MEY,1053,507.8071183
MEY,1054,525.9154229
MEY,1055,465.8855721
MEY,1056,441.3788749
MEY,1057,364.0899349
MEY,1058,474.7145044
MEY,1059,406.3999235
MEY,1060,493.3386912
MEY,1061,540.296594
MEY,1062,465.4730195
MEY,1063,517.4477612
MEY,1064,504.5442021
MEY,1065,621.9536931
MEY,1066,465.8358209
MEY,1067,224.7003444
MEY,1068,213.210486
MEY,1069,393.5246843
MEY,1070,367.1128971
MEY,1071,449.6708764
MEY,1072,431.3712208
MEY,1073,391.3505549
MEY,1074,373.3076923
MEY,1075,376.731726
MEY,1076,507.3719862
MEY,1077,447.3945656
MEY,1078,489.8920781
MEY,1079,578.9831611
MEY,1080,478.3842327
MEY,1081,522.8733257
MEY,1082,573.9804822
MEY,1083,427.9464217
MEY,1084,422.822809
MEY,1085,329.7026406
MEY,1086,424.3011864
MEY,1087,418.0960582
MEY,1088,429.6391121
MEY,1089,387.3857635
MEY,1090,279.097589
MEY,1091,215.2437811
MEY,1092,357.9337926
MEY,1093,347.3187907
MEY,1094,179.2093379
MEY,1095,378.057788
MEY,1096,391.1760429
MEY,1097,396.053961
MEY,1098,229.1438959
MEY,1099,276.4665136
MEY,1100,353.1220819
MEY,1101,456.0742442
MEY,1102,421.6283965
MEY,1103,336.5916571
MEY,1104,412.3436663
MEY,1105,428.1565251
MEY,1106,285.3333333
MEY,1107,363.36969
MEY,1108,353.2300038
MEY,1109,398.7183314
MEY,1110,402.2108687
MEY,1111,299.4159969
MEY,1112,425.9402985
MEY,1113,335.6471489
MEY,1114,447.1519326
MEY,1115,481.7677
MEY,1116,469.7657865
MEY,1117,549.4202067
MEY,1118,385.4316877
MEY,1119,370.6467662
MEY,1120,430.7562189
MEY,1121,321.3497895
MEY,1122,507.0309989
MEY,1123,424.9387677
MEY,1124,452.1350938
MEY,1125,421.1672407
MEY,1126,223.0210486
MEY,1127,351.4469958
MEY,1128,458.7719097
MEY,1129,453.7581324
MEY,1130,328.2433984
MEY,1131,561.3731343
MEY,1132,191.5396096
MEY,1133,233.10907
MEY,1134,353.7072331
MEY,1135,313.6061998
MEY,1136,333.761194
MEY,1137,330.6088787
MEY,1138,233.2479908
MEY,1139,282.884424
MEY,1140,279.5713739
MEY,1141,487.4538844
MEY,1142,336.9100651
MEY,1143,357.3662457
MEY,1144,365.3781095
MEY,1145,493.413318
MEY,1146,243.1760429
MEY,1147,335.9425947
MEY,1148,318.554535
MEY,1149,356.9651741
MEY,1150,226.8124761
MEY,1151,325.2449292
MEY,1152,349.6609261
MEY,1153,326.4385763
MEY,1154,187.7493303
MEY,1155,426.9468044
MEY,1156,167.3926521
MEY,1157,367.2797551
MEY,1158,261.2889399
MEY,1159,434.2973594
MEY,1160,401.7110601
MEY,1161,302.7416762
MEY,1162,311.9406812
MEY,1163,545.1358592
MEY,1164,383.7252201
MEY,1165,435.4087256
MEY,1166,270.0130119
MEY,1167,435.3130501
MEY,1168,352.3765786
MEY,1169,332.2181401
MEY,1170,393.9808649
MEY,1171,529.0899349
MEY,1172,337.2870264
MEY,1173,487.0608496
MEY,1174,327.1500191
MEY,1175,334.7944891
MEY,1176,408.7730578
MEY,1177,353.5315729
MEY,1178,515.097589
MEY,1179,384.6234214
MEY,1180,431.061615
MEY,1181,379.7389973
MEY,1182,305.8576349
MEY,1183,411.8220436
MEY,1184,494.405664
MEY,1185,364.0551091
MEY,1186,252.0761577
MEY,1187,415.9215461
MEY,1188,372.1278224
MEY,1189,322.9973211
MEY,1190,426.9491007
MEY,1191,512.9276693
MEY,1192,468.6804439
MEY,1193,365.8239571
MEY,1194,411.2043628
MEY,1195,441.7236892
MEY,1196,351.7921929
MEY,1197,498.4734022
MEY,1198,448.0394183
MEY,1199,309.7076158
MEY,1200,371.7148871
MEY,1201,451.9594336
MEY,1202,433.1867585
MEY,1203,476.2445465
MEY,1204,369.2728664
MEY,1205,443.2395714
MEY,1206,323.536548
MEY,1207,388.3624187
MEY,1208,317.1285878
MEY,1209,449.5568312
MEY,1210,462.0463069
MEY,1211,460.8997321
MEY,1212,421.1182549
MEY,1213,454.6846537
MEY,1214,408.1075392
MEY,1215,293.2973594
MEY,1216,375.0864906
MEY,1217,205.1106008
MEY,1218,238.4776119
MEY,1219,485.9747417
MEY,1220,407.7956372
MEY,1221,357.409491
MEY,1222,481.8978186
MEY,1223,420.4408726
MEY,1224,344.9579028
MEY,1225,305.2009185
MEY,1226,392.8553387
MEY,1227,169.1327976
MEY,1228,522.3769613
MEY,1229,351.6942212
MEY,1230,412.0619977
MEY,1231,468.4588595
MEY,1232,395.6352851
MEY,1233,268.0455415
MEY,1234,286.6590126
MEY,1235,362.1419824
MEY,1236,269.1312667
MEY,1237,354.7294298
MEY,1238,424.1060084
MEY,1239,360.9196326
MEY,1240,307.797168
MEY,1241,425.7282817
MEY,1242,366.7914275
MEY,1243,326.127057
MEY,1244,376.4963643
MEY,1245,225.8400306
MEY,1246,298.7194795
MEY,1247,279.815155
MEY,1248,353.2747799
MEY,1249,409.594336
MEY,1250,347.9575201
MEY,1251,202.8044393
MEY,1252,360.5683123
MEY,1253,373.5028703
MEY,1254,245.166858
MEY,1255,347.1634137
MEY,1256,424.8966705
MEY,1257,455.7860697
MEY,1258,244.1201684
MEY,1259,511.4316877
MEY,1260,494.4297742
MEY,1261,443.8078837
MEY,1262,416.6685802
MEY,1263,433.5300421
MEY,1264,306.6299273
MEY,1265,467.1350938
MEY,1266,363.0826636
MEY,1267,478.880597
MEY,1268,518.1718331
MEY,1269,561.3130501
MEY,1270,368.445465
MEY,1271,472.2116341
MEY,1272,484.2655951
MEY,1273,310.1687715
MEY,1274,265.528894
MEY,1275,556.6410256
MEY,1276,274.2701875
MEY,1277,380.0907003
MEY,1278,284.206659
MEY,1279,261.942212
MEY,1280,279.4366628
MEY,1281,346.5614237
MEY,1282,345.3409874
MEY,1283,212.4328358
MEY,1284,357.4247991
MEY,1285,215.7975507
MEY,1286,242.0252583
MEY,1287,309.1312667
MEY,1288,276.0340605
MEY,1289,341.7470341
MEY,1290,490.4577114
MEY,1291,360.4994259
MEY,1292,342.445465
MEY,1293,349.5843858
MEY,1294,300.4366628
MEY,1295,215.9613471
MEY,1296,393.6704937
MEY,1297,363.3340987
MEY,1298,562.2732491
MEY,1299,292.0443934
MEY,1300,419.4286261
